2024-08-19T02:41:19.284+03:30 | INFO | [background-preinit] | o.h.v.i.u.Version | ,, | HV000001: Hibernate Validator 8.0.1.Final
2024-08-19T02:41:19.316+03:30 | INFO | [main] | o.s.b.StartupInfoLogger | ,, | Starting IntegrationTest using Java 21.0.4 with PID 57287 (started by sepehrasadiyan in /home/sepehrasadiyan/projects/wallet-v2)
2024-08-19T02:41:19.320+03:30 | INFO | [main] | o.s.b.SpringApplication | ,, | The following 1 profile is active: "test"
2024-08-19T02:41:19.954+03:30 | INFO | [main] | o.s.d.r.c.RepositoryConfigurationDelegate | ,, | Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-08-19T02:41:20.005+03:30 | INFO | [main] | o.s.d.r.c.RepositoryConfigurationDelegate | ,, | Finished Spring Data repository scanning in 45 ms. Found 3 JPA repository interfaces.
2024-08-19T02:41:20.114+03:30 | INFO | [main] | o.t.i.PullPolicy | ,, | Image pull policy will be performed by: DefaultPullPolicy()
2024-08-19T02:41:20.116+03:30 | INFO | [main] | o.t.u.ImageNameSubstitutor | ,, | Image name substitution will be performed by: DefaultImageNameSubstitutor (composite of 'ConfigurationFileImageNameSubstitutor' and 'PrefixingImageNameSubstitutor')
2024-08-19T02:41:20.184+03:30 | INFO | [main] | o.t.d.DockerClientProviderStrategy | ,, | Loaded org.testcontainers.dockerclient.UnixSocketClientProviderStrategy from ~/.testcontainers.properties, will try it first
2024-08-19T02:41:20.344+03:30 | INFO | [main] | o.t.d.DockerClientProviderStrategy | ,, | Found Docker environment with local Unix socket (unix:///var/run/docker.sock)
2024-08-19T02:41:20.345+03:30 | INFO | [main] | o.t.DockerClientFactory | ,, | Docker host IP address is localhost
2024-08-19T02:41:20.356+03:30 | INFO | [main] | o.t.DockerClientFactory | ,, | Connected to docker:   Server Version: 26.1.2  API Version: 1.45  Operating System: Ubuntu 22.04.4 LTS  Total Memory: 31783 MB
2024-08-19T02:41:20.372+03:30 | INFO | [main] | o.t.c.GenericContainer | ,, | Creating container for image: testcontainers/ryuk:0.7.0
2024-08-19T02:41:20.376+03:30 | INFO | [main] | o.t.u.RegistryAuthLocator | ,, | Failure when attempting to lookup auth config. Please ignore if you don't have images in an authenticated registry. Details: (dockerImageName: testcontainers/ryuk:0.7.0, configFile: /home/sepehrasadiyan/.docker/config.json, configEnv: DOCKER_AUTH_CONFIG). Falling back to docker-java default behaviour. Exception message: Status 404: No config supplied. Checked in order: /home/sepehrasadiyan/.docker/config.json (file not found), DOCKER_AUTH_CONFIG (not set)
2024-08-19T02:41:20.445+03:30 | INFO | [main] | o.t.c.GenericContainer | ,, | Container testcontainers/ryuk:0.7.0 is starting: 713f2b35f746de99b9ce1cfa69ddfebfcacf34449ca1b7100e5c99bc4c229839
2024-08-19T02:41:20.735+03:30 | INFO | [main] | o.t.c.GenericContainer | ,, | Container testcontainers/ryuk:0.7.0 started in PT0.36359942S
2024-08-19T02:41:20.739+03:30 | INFO | [main] | o.t.u.RyukResourceReaper | ,, | Ryuk started - will monitor and terminate Testcontainers containers on JVM exit
2024-08-19T02:41:20.739+03:30 | INFO | [main] | o.t.DockerClientFactory | ,, | Checking the system...
2024-08-19T02:41:20.739+03:30 | INFO | [main] | o.t.DockerClientFactory | ,, | ✔︎ Docker server version should be at least 1.6.0
2024-08-19T02:41:20.741+03:30 | INFO | [main] | o.t.c.GenericContainer | ,, | Creating container for image: mysql:8.0
2024-08-19T02:41:20.742+03:30 | WARN | [main] | o.t.c.GenericContainer | ,, | Reuse was requested but the environment does not support the reuse of containersTo enable reuse of containers, you must set 'testcontainers.reuse.enable=true' in a file located at /home/sepehrasadiyan/.testcontainers.properties
2024-08-19T02:41:20.781+03:30 | INFO | [main] | o.t.c.GenericContainer | ,, | Container mysql:8.0 is starting: 828aa413d04856a2b2928ddc3d7f95f6a5bf01389395eeb02845275337fad732
2024-08-19T02:41:20.991+03:30 | INFO | [main] | o.t.c.JdbcDatabaseContainer | ,, | Waiting for database connection to become available at jdbc:mysql://localhost:32785/test using query 'SELECT 1'
2024-08-19T02:41:30.872+03:30 | INFO | [main] | o.t.c.GenericContainer | ,, | Container mysql:8.0 started in PT10.130666502S
2024-08-19T02:41:30.872+03:30 | INFO | [main] | o.t.c.JdbcDatabaseContainer | ,, | Container is started (JDBC URL: jdbc:mysql://localhost:32785/test)
2024-08-19T02:41:31.330+03:30 | INFO | [main] | o.s.b.w.e.t.TomcatWebServer | ,, | Tomcat initialized with port 0 (http)
2024-08-19T02:41:31.350+03:30 | INFO | [main] | o.a.j.l.DirectJDKLog | ,, | Initializing ProtocolHandler ["http-nio-auto-1"]
2024-08-19T02:41:31.352+03:30 | INFO | [main] | o.a.j.l.DirectJDKLog | ,, | Starting service [Tomcat]
2024-08-19T02:41:31.353+03:30 | INFO | [main] | o.a.j.l.DirectJDKLog | ,, | Starting Servlet engine: [Apache Tomcat/10.1.25]
2024-08-19T02:41:31.390+03:30 | INFO | [main] | o.a.j.l.DirectJDKLog | ,, | Initializing Spring embedded WebApplicationContext
2024-08-19T02:41:31.392+03:30 | INFO | [main] | o.s.b.w.s.c.ServletWebServerApplicationContext | ,, | Root WebApplicationContext: initialization completed in 12059 ms
2024-08-19T02:41:31.728+03:30 | INFO | [main] | c.z.h.HikariDataSource | ,, | HikariPool-1 - Starting...
2024-08-19T02:41:31.872+03:30 | INFO | [main] | c.z.h.p.HikariPool | ,, | HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@32d3b965
2024-08-19T02:41:31.874+03:30 | INFO | [main] | c.z.h.HikariDataSource | ,, | HikariPool-1 - Start completed.
2024-08-19T02:41:32.284+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Creating database history table with name: test.DATABASECHANGELOG
2024-08-19T02:41:32.562+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Reading from test.DATABASECHANGELOG
2024-08-19T02:41:32.662+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Successfully acquired change log lock
2024-08-19T02:41:32.663+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Using deploymentId: 4065892663
2024-08-19T02:41:32.665+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Reading from test.DATABASECHANGELOG
2024-08-19T02:41:32.682+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Running Changeset: db.changelog/changes/create_sequence.xml::create-sequence-table::s.asadiyan
2024-08-19T02:41:32.710+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Table reference_number_seq created
2024-08-19T02:41:32.711+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | ChangeSet db.changelog/changes/create_sequence.xml::create-sequence-table::s.asadiyan ran successfully in 28ms
2024-08-19T02:41:32.718+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Running Changeset: db.changelog/changes/create_sequence.xml::create-sequence-procedure::s.asadiyan
2024-08-19T02:41:32.732+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Custom SQL executed
2024-08-19T02:41:32.733+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | ChangeSet db.changelog/changes/create_sequence.xml::create-sequence-procedure::s.asadiyan ran successfully in 14ms
2024-08-19T02:41:32.738+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Running Changeset: db.changelog/changes/create_tables.xml::2::s.asadiyan
2024-08-19T02:41:32.761+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Table simple_user created
2024-08-19T02:41:32.761+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | ChangeSet db.changelog/changes/create_tables.xml::2::s.asadiyan ran successfully in 23ms
2024-08-19T02:41:32.768+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Running Changeset: db.changelog/changes/create_tables.xml::3::s.asadiyan
2024-08-19T02:41:32.793+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Table simple_account created
2024-08-19T02:41:32.854+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Foreign key constraint added to simple_account (user_id)
2024-08-19T02:41:32.854+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | ChangeSet db.changelog/changes/create_tables.xml::3::s.asadiyan ran successfully in 85ms
2024-08-19T02:41:32.861+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Running Changeset: db.changelog/changes/create_tables.xml::1::s.asadiyan
